title,author,book_length
$100M Leads,By: Alex Hormozi,Length: 6 hrs
The Eye of the Bedlam Bride,By: Matt Dinniman,Length: 26 hrs and 46 mins
I Could Never,By: Penelope Ward,Length: 8 hrs and 2 mins
The 32 Principles,"By: Rener Gracie, Paul Volponi, Jocko Willink - foreword",Length: 8 hrs and 18 mins
The Way I Hate Him,By: Meghan Quinn,Length: 15 hrs and 4 mins
Things We Left Behind,By: Lucy Score,Length: 19 hrs and 14 mins
Dark Future,"By: Glenn Beck, Justin Trask Haskins",Length: 16 hrs and 5 mins
Tucker,By: Chadwick Moore,Length: 5 hrs and 47 mins
Dead Mountain,"By: Douglas Preston, Lincoln Child",Length: 12 hrs and 20 mins
Iron Flame,By: Rebecca Yarros,Length: 14 hrs and 15 mins
Tempting Little Thief,By: Meagan Brandy,Length: 17 hrs and 22 mins
Jackson,By: Neven Iliev,Length: 18 hrs and 1 min
The One I Want,By: Siobhan Davis,Length: 22 hrs and 52 mins
Choose Strong,By: Sally McRae,Length: 4 hrs and 55 mins
Happiness for Beginners,By: Katherine Center,Length: 9 hrs and 19 mins
Fun House,By: Lani Lynn Vale,Length: 6 hrs and 6 mins
Iced Out,By: CE Ricci,Length: 9 hrs and 45 mins
The Primal Hunter 6,By: Zogarth,Length: 20 hrs and 8 mins
Elon Musk,By: Walter Isaacson,Length: 20 hrs
Tales from the Gas Station: Volume One,By: Jack Townsend,Length: 9 hrs and 44 mins
